"","gene.name","mean.exp","mean.disp","mean.disp2","opt.exp","opt.disp","opt.disp2"
"550","Fam212b",1.21114063298559,1.92383220637322,2.1315111107029,0.0899182561307902,0.291553133514989,0.730245231607638
"551","Rbm15",1.18062902513054,1.17915593474184,1.60308418318867,0.0108991825613079,0.0817438692098092,0.501362397820169
"552","Gstm7",2.53365668734691,1.58174788258241,1.2783040310884,0.574023614895556,0.188010899182562,0.360581289736607
"553","Gstm6",3.61462191475541,4.37459997629188,1.25318830690121,0.778383287920082,0.776566757493198,0.351498637602183
"554","Gm12524",1.9001376570131,2.54947814836238,1.36400899562931,0.303360581289739,0.46684831970936,0.382379654859223
"555","Psrc1",3.30784595531039,2.45014385403659,1.75302058894001,1.00000000000001,0.484105358764765,0.604904632152596
"556","5330417C22Rik",2.15817764241051,2.58406437790449,2.62636150911838,0.208900999091736,0.530426884650324,0.915531335149875
"557","Wdr47",1.0134726878073,3.11061887001877,1.76144451252404,0,0.786557674841063,0.613987284287019
"558","Gpsm2",2.66912466633108,1.85234832760142,1.15966913764212,0.942779291553146,0.269754768392373,0.32697547683924
"559","Ntng1",3.43758765787497,3.36764861449037,1.76201513425553,0.869209809264316,0.690281562216175,0.571298819255229
"560","S1pr1",4.88566668612443,5.88299613549795,1.63769588366821,1.00000000000001,0.98728428701182,0.544959128065401
"561","Vcam1",3.85556514402972,4.00466112068489,1.61083134236562,1.00000000000001,0.959128065395108,0.493188010899188
"562","Gpr88",4.53987061745359,3.665348492792,1.99624626466575,0.983651226158051,0.654859218891924,0.669391462307002
"563","Sass6",1.67683774447087,1.78491690132358,0.997335997171384,0.0844686648501362,0.248864668483199,0.236148955495006
"564","Agl",1.16895602802431,2.51081552163197,2.89544631594933,0.0272479564032697,0.475022706630341,0.988192552225262
"565","Palmd",3.07000893380606,1.72690756924478,1.87373610426762,0.968210717529531,0.205267938237967,0.63396911898275
"566","Plppr4",3.9794087746264,4.63892649328227,1.28546149835799,0.945504087193473,0.872842870118085,0.349682107175298
"567","6530403H02Rik",4.94388762049581,5.80135528401558,1.28266130789221,1.00000000000001,0.963669391462319,0.366939146230703
"568","Rwdd3",2.7510084470826,1.45132838676453,2.16297557063224,0.988192552225262,0.160762942779292,0.821071752951872
